year,matric ,fsc,et,deduction,merit,Eligibility
2018,36,36,18,0,90.4,1
2018,36,36,18,0,90.345,1
2017,36,36,18,2,90.073,1
2018,35,35,17,0,86.691,1
2018,35,35,17,0,86.655,1
2018,35,35,17,0,86.564,1
2018,35,35,17,0,86.473,1
2017,35,35,18,2,88.109,1
2018,34,34,17,0,85.945,1
2018,34,34,17,0,85.273,1
2018,34,34,17,0,84.345,1
2017,35,35,17,2,86.273,1
2017,34,34,17,2,85.727,1
2018,33,33,17,0,83.691,1
2018,33,33,17,0,83.636,1
2018,33,33,17,0,83.582,1
2018,33,33,17,0,83.182,1
2018,33,33,16,0,82.455,1
2017,34,34,17,2,84.455,1
2018,33,33,16,0,82.382,1
2018,33,33,16,0,82.309,1
2017,34,34,17,2,84.291,1
2018,33,33,16,0,81.745,1
2018,33,33,16,0,81.688,1
2018,32,32,16,0,81.018,1
2018,32,32,16,0,80.964,1
2018,32,32,16,0,80.745,1
2018,32,32,16,0,80.564,1
2016,34,34,17,4,84.418,1
2018,32,32,16,0,80.327,1
2018,32,32,16,0,80.145,1
2018,32,32,16,0,79.982,1
2018,32,32,16,0,79.764,1
2018,32,32,16,0,79.618,1
2018,32,32,16,0,79.6,1
2018,32,32,16,0,79.309,1
2018,32,32,16,0,79.036,1
2018,32,32,16,0,78.855,1
2018,32,32,16,0,78.764,1
2016,33,33,17,4,82.655,1
2017,32,32,16,2,80.6,1
2018,31,31,16,0,78.564,1
2018,31,31,16,0,78.527,1
2018,31,31,16,0,78.436,1
2017,32,32,16,2,80.345,1
2016,33,33,16,4,82.291,1
2018,31,31,16,0,78.236,1
2018,31,31,16,0,78.091,1
2017,32,32,16,2,80.074,1
2018,31,31,16,0,78,1
2018,31,31,16,0,77.945,1
2018,31,31,16,0,77.709,1
2018,31,31,15,0,77.455,1
2018,31,31,15,0,77.436,1
2017,32,32,16,2,79.436,1
2017,32,32,16,2,79.436,1
2017,32,32,16,2,79.418,1
2018,31,31,15,0,77.4,1
2018,31,31,15,0,77.309,1
2018,31,31,15,0,77.273,1
2018,31,31,15,0,77.064,1
2017,32,32,16,2,79.036,1
2017,31,31,16,2,78.709,1
2018,31,31,15,0,76.691,1
2017,31,31,16,2,78.582,1
