University ,Department,Year of passing ,Matric,Fsc ,ET,Deduction,Merit In %age,Eligibility
1,10,2018,36,36,18,0,90.4,1
1,10,2018,36,36,18,0,90.3,1
1,10,2017,36,36,18,2,90.1,1
1,10,2018,35,35,17,0,86.7,1
1,10,2018,35,35,17,0,86.7,1
1,10,2018,35,35,17,0,86.6,1
1,10,2018,35,35,17,0,86.5,1
1,10,2017,35,35,18,2,88.1,1
1,10,2018,34,34,17,0,85.9,1
1,10,2018,34,34,17,0,85.3,1
1,10,2018,34,34,17,0,84.3,1
1,10,2017,35,35,17,2,86.3,1
1,10,2017,34,34,17,2,85.7,1
1,10,2018,33,33,17,0,83.7,1
1,10,2018,33,33,17,0,83.6,1
1,10,2018,33,33,17,0,83.6,1
1,10,2018,33,33,17,0,83.2,1
1,10,2018,33,33,16,0,82.5,1
1,10,2017,34,34,17,2,84.5,1
1,10,2018,33,33,16,0,82.4,1
1,10,2018,33,33,16,0,82.3,1
1,10,2017,34,34,17,2,84.3,1
1,10,2018,33,33,16,0,81.7,1
1,10,2018,33,33,16,0,81.7,1
1,10,2018,32,32,16,0,81,1
1,10,2018,32,32,16,0,81,1
1,10,2018,32,32,16,0,80.7,1
1,10,2018,32,32,16,0,80.6,1
1,10,2016,34,34,17,4,84.4,1
1,10,2018,32,32,16,0,80.3,1
1,10,2018,32,32,16,0,80.1,1
1,10,2018,32,32,16,0,80,1
1,10,2018,32,32,16,0,79.8,1
1,10,2018,32,32,16,0,79.6,1
1,10,2018,32,32,16,0,79.6,1
1,10,2018,32,32,16,0,79.3,1
1,10,2018,32,32,16,0,79,1
1,10,2018,32,32,16,0,78.9,1
1,10,2018,32,32,16,0,78.8,1
1,10,2016,33,33,17,4,82.7,1
1,10,2017,32,32,16,2,80.6,1
1,10,2018,31,31,16,0,78.6,1
1,10,2018,31,31,16,0,78.5,1
1,10,2018,31,31,16,0,78.4,1
1,10,2017,32,32,16,2,80.3,1
1,10,2016,33,33,16,4,82.3,1
1,10,2018,31,31,16,0,78.2,1
1,10,2018,31,31,16,0,78.1,1
1,10,2017,32,32,16,2,80.1,1
1,10,2018,31,31,16,0,78,1
1,10,2018,31,31,16,0,77.9,1
1,10,2018,31,31,16,0,77.7,1
1,10,2018,31,31,15,0,77.5,1
1,10,2018,31,31,15,0,77.4,1
1,10,2017,32,32,16,2,79.4,1
1,10,2017,32,32,16,2,79.4,1
1,10,2017,32,32,16,2,79.4,1
1,10,2018,31,31,15,0,77.4,1
1,10,2018,31,31,15,0,77.3,1
1,10,2018,31,31,15,0,77.3,1
1,10,2018,31,31,15,0,77.1,1
1,10,2017,32,32,16,2,79,1
1,10,2017,31,31,16,2,78.7,1
1,10,2018,31,31,15,0,76.7,1
1,10,2017,31,31,16,2,78.6,1
1,10,2017,31,31,16,2,78.5,1
1,10,2017,31,31,16,2,78.5,1
1,10,2018,31,31,15,0,76.5,1
1,10,2018,31,31,15,0,76.3,1
1,10,2018,30,30,15,0,76.2,1
1,10,2018,30,30,15,0,76.1,1
1,10,2018,30,30,15,0,75.9,1
1,10,2018,30,30,15,0,75.9,1
1,10,2018,30,30,15,0,75.9,1
1,10,2017,31,31,16,2,77.8,1
1,10,2018,30,30,15,0,75.8,1
1,10,2016,32,32,16,4,79.7,1
1,10,2018,30,30,15,0,75.7,1
1,10,2018,30,30,15,0,75.7,1
1,10,2018,30,30,15,0,75.7,1
1,10,2018,30,30,15,0,75.6,1
1,10,2018,30,30,15,0,75.6,1
1,10,2018,30,30,15,0,75.5,1
1,10,2018,30,30,15,0,75.4,1
1,10,2017,31,31,15,2,77.4,1
1,10,2017,31,31,15,2,77.3,1
1,10,2018,30,30,15,0,75.2,1
